,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,id,point_attendance,point_motivation,point_extracurricular_activities,point_previous_scores,total_point
0,28,96,High,Low,Yes,4,98,High,Yes,1,High,High,Public,Positive,3,No,High School,Near,Male,98,6131,20,15,10,49.0,192.0
1,25,98,Medium,Medium,Yes,7,90,High,Yes,1,High,Low,Public,Neutral,4,No,Postgraduate,Near,Male,94,4260,20,5,10,45.0,174.0
2,27,98,Low,Medium,Yes,6,93,Low,No,5,High,High,Public,Positive,3,No,High School,Moderate,Female,101,1466,20,-5,10,46.5,172.5
3,30,98,Medium,Low,Yes,9,93,Medium,Yes,1,Low,Low,Private,Positive,3,No,High School,Near,Male,88,1547,20,5,10,46.5,169.5
4,28,90,Low,Medium,Yes,9,91,Medium,Yes,0,Medium,Medium,Public,Positive,2,No,College,Moderate,Female,98,4052,15,0,10,45.5,168.5
5,25,99,High,Medium,Yes,6,97,High,Yes,0,Medium,Medium,Public,Positive,3,No,College,Moderate,Male,75,505,20,15,10,48.5,168.5
6,14,90,High,High,Yes,8,86,Medium,Yes,4,Medium,Medium,Private,Negative,2,No,High School,Near,Female,99,3455,15,0,10,43.0,167.0
7,18,89,High,Medium,Yes,4,73,Medium,Yes,3,High,Medium,Private,Positive,2,No,College,Near,Female,100,93,10,10,10,36.5,166.5
8,29,99,High,Medium,Yes,8,98,High,No,5,Low,Low,Public,Neutral,2,No,Postgraduate,Near,Male,77,1364,20,10,10,49.0,166.0
9,25,99,Medium,Medium,Yes,7,77,Medium,Yes,0,High,High,Public,Neutral,3,No,High School,Near,Male,97,5764,20,0,10,38.5,165.5
10,23,97,High,Low,Yes,9,94,High,Yes,2,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,73,4943,20,15,10,47.0,165.0
11,39,97,High,High,Yes,10,91,Medium,Yes,2,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,79,1888,20,10,10,45.5,164.5
12,18,97,High,Low,Yes,8,95,High,Yes,1,Medium,Medium,Public,Positive,2,No,Postgraduate,Moderate,Male,72,4753,20,15,10,47.5,164.5
13,23,96,Medium,Medium,Yes,8,99,High,Yes,3,Low,Low,Public,Positive,4,No,High School,Near,Female,74,1462,20,10,10,49.5,163.5
