,id,Exam_Score,point_attendance,point_motivation,point_extracurricular_activities,point_previous_scores,total_point
0,6131,98,20,15,10,49.0,192.0
1,4260,94,20,5,10,45.0,174.0
2,1466,101,20,-5,10,46.5,172.5
3,1547,88,20,5,10,46.5,169.5
4,4052,98,15,0,10,45.5,168.5
5,505,75,20,15,10,48.5,168.5
6,3455,99,15,0,10,43.0,167.0
7,93,100,10,10,10,36.5,166.5
8,1364,77,20,10,10,49.0,166.0
9,5764,97,20,0,10,38.5,165.5
10,4943,73,20,15,10,47.0,165.0
11,1888,79,20,10,10,45.5,164.5
12,4753,72,20,15,10,47.5,164.5
13,1462,74,20,10,10,49.5,163.5
14,358,74,20,10,10,48.5,162.5
15,4435,72,20,10,10,50.0,162.0
16,5987,72,20,15,10,44.5,161.5
17,3140,73,15,15,10,48.0,161.0
18,2656,73,20,15,10,42.0,160.0
19,5150,71,20,10,10,49.0,160.0
20,1914,75,20,15,10,39.5,159.5
21,2103,76,20,5,10,48.5,159.5
22,5243,74,20,10,10,45.5,159.5
23,885,97,5,10,0,47.0,159.0
24,3034,75,20,10,10,44.0,159.0
25,6265,71,20,10,10,48.0,159.0
26,1651,72,20,10,10,47.0,159.0
27,3018,94,15,-5,10,45.0,159.0
28,6177,98,10,-5,10,46.0,159.0
29,2341,99,10,-5,10,44.5,158.5
30,4210,74,20,5,10,49.5,158.5
31,5993,77,15,10,10,46.5,158.5
32,1436,74,20,5,10,49.5,158.5
33,2695,74,20,10,10,44.0,158.0
34,4221,75,15,10,10,48.0,158.0
35,5220,73,15,10,10,50.0,158.0
36,5876,75,20,5,10,47.5,157.5
37,3105,76,20,10,10,41.5,157.5
38,5123,74,20,10,10,43.5,157.5
39,1039,74,20,10,10,43.5,157.5
40,2524,73,20,5,10,49.5,157.5
41,5384,72,20,5,10,50.0,157.0
42,487,74,15,10,10,48.0,157.0
43,207,78,10,10,10,48.5,156.5
44,3508,72,20,5,10,49.5,156.5
45,4097,75,20,5,10,46.5,156.5
46,2113,73,15,10,10,48.0,156.0
47,5568,73,20,5,10,48.0,156.0
48,1041,72,20,10,10,44.0,156.0
49,6307,75,20,5,10,46.0,156.0
50,4585,73,10,15,10,48.0,156.0
51,742,94,20,-5,0,46.5,155.5
52,6176,69,20,10,10,46.5,155.5
53,880,73,15,15,10,42.5,155.5
54,515,97,10,0,0,48.5,155.5
55,1335,76,20,5,10,44.5,155.5
56,1885,72,20,5,10,48.5,155.5
57,5782,74,20,15,10,36.0,155.0
58,1126,74,10,15,10,46.0,155.0
59,3869,73,20,5,10,47.0,155.0
60,3041,71,10,15,10,49.0,155.0
61,5317,71,20,10,10,44.0,155.0
62,3277,73,20,5,10,47.0,155.0
63,6122,72,20,5,10,48.0,155.0
64,4574,77,20,0,10,48.0,155.0
65,1618,72,20,10,10,42.0,154.0
66,1974,72,20,10,10,42.0,154.0
67,5203,73,20,10,10,41.0,154.0
68,5475,75,20,5,10,44.0,154.0
69,4842,74,20,5,10,45.0,154.0
70,4446,73,20,5,10,46.0,154.0
71,4154,95,0,5,10,44.0,154.0
72,1199,72,20,5,10,47.0,154.0
73,897,75,20,5,10,43.5,153.5
74,4795,72,20,5,10,46.5,153.5
75,5811,74,15,5,10,49.5,153.5
76,579,72,20,10,10,41.5,153.5
77,5780,74,15,5,10,49.0,153.0
78,1901,72,20,5,10,46.0,153.0
79,1797,74,20,5,10,44.0,153.0
80,964,75,20,5,10,43.0,153.0
81,220,75,20,5,10,43.0,153.0
82,1008,73,10,15,10,45.0,153.0
83,2672,70,20,5,10,47.5,152.5
84,4666,71,20,5,10,46.5,152.5
85,1817,74,20,0,10,48.5,152.5
86,3691,72,20,5,10,45.5,152.5
87,184,72,10,15,10,45.5,152.5
88,1326,71,20,15,10,36.5,152.5
89,3085,75,20,0,10,47.0,152.0
90,3398,74,20,0,10,48.0,152.0
91,5910,74,20,0,10,48.0,152.0
92,3685,71,20,5,10,46.0,152.0
93,4457,71,20,15,0,46.0,152.0
94,5215,74,15,15,10,38.0,152.0
95,2280,68,10,15,10,49.0,152.0
96,4779,69,20,10,10,43.0,152.0
97,323,74,20,5,10,43.0,152.0
98,5160,72,20,10,10,40.0,152.0
99,6132,71,20,5,10,46.0,152.0
100,4601,71,20,10,10,41.0,152.0
101,4676,74,20,0,10,48.0,152.0
102,112,79,20,0,10,42.5,151.5
103,2718,74,20,15,10,32.5,151.5
104,5325,72,20,0,10,49.5,151.5
105,960,75,20,0,10,46.5,151.5
106,1456,71,20,10,10,40.5,151.5
107,5877,74,20,10,0,47.5,151.5
108,1765,74,20,10,0,47.0,151.0
109,3336,74,20,5,10,42.0,151.0
110,3540,70,10,15,10,46.0,151.0
111,420,70,20,5,10,46.0,151.0
112,4544,76,20,5,0,50.0,151.0
113,1534,68,20,5,10,48.0,151.0
114,1560,73,20,15,10,33.0,151.0
115,2965,71,20,5,10,45.0,151.0
116,5726,74,20,0,10,47.0,151.0
117,3035,86,0,10,10,45.0,151.0
118,5368,71,20,0,10,50.0,151.0
119,5380,71,20,10,10,39.5,150.5
120,2083,73,20,5,10,42.5,150.5
121,5768,72,20,0,10,48.5,150.5
122,1042,75,20,0,10,45.5,150.5
123,3036,73,20,0,10,47.5,150.5
124,5664,70,20,10,10,40.5,150.5
125,610,72,20,0,10,48.5,150.5
126,4507,73,20,10,10,37.0,150.0
127,2111,71,20,5,10,44.0,150.0
128,5864,72,15,5,10,48.0,150.0
129,441,72,20,5,10,43.0,150.0
130,306,72,20,15,10,33.0,150.0
131,2458,73,20,5,10,42.0,150.0
132,2822,71,20,15,10,34.0,150.0
133,3492,73,20,0,10,47.0,150.0
134,1317,70,10,10,10,50.0,150.0
135,1523,69,20,10,10,41.0,150.0
136,4590,72,20,5,10,43.0,150.0
137,1616,73,15,5,10,47.0,150.0
138,673,70,20,10,10,40.0,150.0
139,4643,73,15,10,10,42.0,150.0
140,6345,70,10,10,10,50.0,150.0
141,1990,71,15,5,10,48.5,149.5
142,2,74,20,0,10,45.5,149.5
143,2599,69,20,5,10,45.5,149.5
144,5053,70,15,10,10,44.5,149.5
145,4865,74,20,10,10,35.5,149.5
146,3053,73,20,0,10,46.5,149.5
147,2851,82,5,5,10,47.5,149.5
148,2864,70,20,5,10,44.5,149.5
149,56,71,15,10,10,43.5,149.5
150,4923,70,15,5,10,49.5,149.5
151,5650,71,20,5,10,43.5,149.5
152,6123,73,20,5,10,41.5,149.5
153,3181,70,20,5,10,44.5,149.5
154,3046,67,15,10,10,47.5,149.5
155,2140,71,20,5,10,43.5,149.5
156,3127,74,15,5,10,45.5,149.5
157,5191,71,15,5,10,48.5,149.5
158,3040,71,20,10,10,38.5,149.5
159,5416,71,15,5,10,48.5,149.5
160,5837,76,20,5,10,38.0,149.0
